LeadCreated,VendorLeadID,CallStatus,WidgetName,PublisherZoneName,PublisherCampaignName,AddressScore,PhoneScore,AdvertiserCampaignName,State,DebtLevel,Partner,ReferralDomain,MarketingCampaign,AdGroup,Keyword,SearchQuery,QualityGroup,GoodLeadFlag,ClosedLeadFlag,Month,Quarter,Year
26-05-2009,E25036FF-B513-47D9-AE84-5E99DE25E188,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CA,15001-20000,google,googleads.g.doubleclick.net,Debt Volume,How,debt,Unknown,Unknown,0,0,2009-05,2009Q2,2009
25-08-2009,B3730A7A-5333-4B88-8F7D-C1CFCDFD6ED9,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,2,5,Debt Settlement1 Master,TX,30001-50000,google,www.ehow.com,Debt Consolidation,Debt Consolidation,American debt consolidation,Unknown,Unknown,0,0,2009-08,2009Q3,2009
23-07-2009,5E636DB0-AED0-427E-B38F-33EBC465071B,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,3,4,creditsolutions-branded-shortform,TX,15001-20000,Google,www.ehow.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
22-07-2009,44h_FL_4ekK0xflank7rug,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,4,creditsolutions-branded-shortform,NY,50001-70000,Google,www.debtreductioninc.com,DebtReductionInc,Student Debt,Unknown,Unknown,Bad,0,0,2009-07,2009Q3,2009
28-08-2009,41B09D59-77F2-48FD-9643-6EEB1EA9E9B5,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,NE,7500-10000,yahoo,search.yahoo.com,DebtReductionInc,Credit Card Consolidation,Unknown,credit card debt,Unknown,0,0,2009-08,2009Q3,2009
29-04-2009,2F83A763-A937-4AE7-B8E9-EAF4C7025C8E,Unknown,w-300250-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,15001-20000,google,www.google.com,Debt General,Student Debt,Student loan default,help with student loans in default,Unknown,0,0,2009-04,2009Q2,2009
09-07-2009,657FA486-1056-4E04-8293-255590323B7E,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,30001-50000,google,Unknown,Debt Holding Tank,Holding Tank - Debt,National debt initiative division,Unknown,Unknown,0,0,2009-07,2009Q3,2009
17-04-2009,53912B14-491C-469E-8F65-0DC49042F057,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,20001-30000,Google,pagead2.googlesyndication.com,DebtReductionInc,Stop Collections,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
27-08-2009,53531E0C-6AE9-4C23-9780-0DE19556E0A8,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,AR,50001-70000,yahoo,search.yahoo.com,DebtReductionInc,Debt Program,Unknown,nationak debt stimulus program,Unknown,0,0,2009-08,2009Q3,2009
30-06-2009,36240516-1CDD-4366-96A5-1A3F4E819BD6,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,5,creditsolutions-branded-shortform,NY,20001-30000,google,Unknown,Debt General,General Debt,American debt solutions,Unknown,Unknown,0,0,2009-06,2009Q2,2009
27-06-2009,08DEF522-5168-4FA9-A4AB-41EFC834F24F,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,,2,Debt Settlement1 Master,FL,20001-30000,Google,www.sedoparking.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
25-06-2009,mmxhtoem60OxmaDgoA9mxg,Contacted - Invalid Profile,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CT,70001-90000,AdKnowledge,www.bing.com,Financial Services,Consolidate,Unknown,american debt specialists,Bad,0,0,2009-06,2009Q2,2009
17-06-2009,15501F72-89DD-46EA-A722-395F0D6DD917,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,10001-15000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,FIX MY DEBT,Unknown,0,0,2009-06,2009Q2,2009
18-05-2009,BAC84954-F175-4FB6-8D0A-79C0A3735FF3,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CA,7500-15000,yahoo,search.yahoo.com,DebtReductionInc,Stop Collections,Unknown,credit collection laws,Unknown,0,0,2009-05,2009Q2,2009
16-09-2009,S6ekXvO0XE2ZlWhN6IsJ9Q,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,IN,10001-15000,AdKnowledge,us.mc587.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Bad,0,0,2009-09,2009Q3,2009
17-07-2009,BC40B625-EF77-4898-B792-6A1B3A97475D,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,IL,20001-30000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Debt rescue usa,debt rescue usa,Unknown,0,0,2009-07,2009Q3,2009
30-05-2009,AF561570-10A8-4699-8ED4-0EB254419F5B,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,AZ,90000-100000,yahoo,search26.info.com,DebtReductionInc,Debt Consolidation Loan,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
21-07-2009,9F1E5F15-8EE0-46AF-B67C-CFED184D9609,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,MI,7500-10000,yahoo,www.couponmountain.com,DebtReductionInc,Get Out Of Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
15-08-2009,AF67ADF1-F768-480D-862B-62D0A0F30FFD,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,MO,30001-50000,google,financialplan.about.com,Debt General,Debt Negotiation,Debt negotiation tips,Unknown,Unknown,0,0,2009-08,2009Q3,2009
01-05-2009,4279C9A8-43FE-414B-A08E-AE23D1D3CE6C,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MI,30001-50000,Google,www.answerbag.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
03-04-2009,1B854E6C-35CB-4D08-A245-1DC6D8DEDA0B,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CO,90000-100000,yahoo,us.yhs.search.yahoo.com,DebtReductionInc,Debt Consolidation,Unknown,colorado business debt consolidation,Unknown,0,0,2009-04,2009Q2,2009
04-06-2009,pG3yRt-acEqw4L27LIyTcA,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,LA,7500-10000,google,www.ask.com,Debt General,Student Debt,Defaulted student loans,Delinquent Student Loans,Bad,0,0,2009-06,2009Q2,2009
14-07-2009,0D14D7FF-3655-4869-8C79-D99B6411F2EE,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,LA,50001-70000,Google,www.lifescript.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
24-07-2009,A30B0C83-050C-425B-9AFA-E4FB4549B52B,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,LA,10001-15000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,medical debt counseling,Unknown,0,0,2009-07,2009Q3,2009
13-08-2009,CB153EC8-9C6E-46E7-ABC0-9008EBD70094,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,4,3,Debt Settlement1 Master,WA,15001-20000,Google,googleads.g.doubleclick.net,DebtReductionInc,Debt Payment,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
20-09-2009,F4193F1C-2EA3-4805-B47A-8862D726D24B,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,3,3,Debt Settlement1 Master,CA,7500-10000,yahoo,search.yahoo.com,DebtReductionInc,Credit Card Consolidation,Unknown,credit card debt consolidation,Unknown,0,0,2009-09,2009Q3,2009
05-05-2009,0846070A-2651-4C64-BB47-49BD4FA97528,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,15001-20000,yahoo,www.findstuff.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
28-07-2009,52765B9F-1745-4738-AC8C-37EA027ED34B,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,4,Debt Settlement1 Master,FL,90000-100000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
27-05-2009,B5A54A5F-B40A-49C1-BE3D-7E11A11CC39C,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NY,7500-10000,Google,www.edfincial.com,DebtReductionInc,Debt Services,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
03-07-2009,2A08AEDE-742A-4623-BEB3-5CC9A9CD2739,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,2,creditsolutions-branded-shortform,MD,15001-20000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
28-04-2009,10862F64-0328-4DFB-B8D6-CB31DC7C53B3,Unknown,w-300250-DebtReduction1-1DC-Head3,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,AR,30001-50000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Reliance debt relief,reliance debt relief,Unknown,0,0,2009-04,2009Q2,2009
07-07-2009,BC6A3E16-FB0E-41A9-B887-FA04FBC0C8F4,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,5,creditsolutions-branded-shortform,FL,30001-50000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
13-05-2009,F2847F47-5569-47CC-AAA6-E5DC81551EB5,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,AZ,30001-50000,Google,www.soyouwanna.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
02-06-2009,ndcNqaRcF0Ce_ODyHq1gzQ,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,30001-50000,google,search.alot.com,Debt Holding Tank,Holding Tank - Debt,Consumer debt initiative,consumer debt initiative,Closed,1,1,2009-06,2009Q2,2009
11-06-2009,TqS1PaTz9k6YKc-v3Zf90w,EP Confirmed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,LA,7500-10000,yahoo,my.att.net,DebtReductionInc,Debt Consolidation Loan,Unknown,Unknown,Good,1,0,2009-06,2009Q2,2009
29-07-2009,E886AA75-9AE2-4C06-9609-AE7192257BB9,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,2,creditsolutions-branded-shortform,FL,15001-20000,Google,www.docstoc.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
23-04-2009,732C1675-F3E1-44B7-91DC-01AE007823B6,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NY,90000-100000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,American ex debt,american ex-debt,Unknown,0,0,2009-04,2009Q2,2009
12-05-2009,6Ph9rD9VJEKRszhxly9p_w,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,30001-50000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,American ex debt,american ex debt,Bad,0,0,2009-05,2009Q2,2009
27-06-2009,kAbitnE86UOcOgTQLFPLAQ,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,4,creditsolutions-branded-shortform,NV,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,Debt Consolidation Loan,Unknown,business debt consolidation loans,Bad,0,0,2009-06,2009Q2,2009
29-05-2009,566F4F48-277C-4587-814A-7F963CE85DF4,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,More_than_100000,google,pagead2.googlesyndication.com,Debt Volume,How,debt,Unknown,Unknown,0,0,2009-05,2009Q2,2009
10-06-2009,233C0B6F-8CCE-460C-980A-D73C8A731777,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,30001-50000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
05-04-2009,295BEE56-A151-4418-BED3-308D2E8C6688,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,PA,20001-30000,AdKnowledge,us.mc639.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
29-06-2009,9C131E72-3730-4E44-A18D-E9175D878A6E,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-blue,TopLeft-302252,DebtReductionInc,,4,Debt Settlement1 Master,TX,90000-100000,yahoo,search.yahoo.com,DebtReductionInc,Get Out Of Debt,Unknown,how to get rid of debt,Unknown,0,0,2009-06,2009Q2,2009
24-04-2009,65D6E311-9C68-493A-89D3-51940615D01E,Unknown,w-300250-DebtReduction1-2DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,IA,90000-100000,google,www.google.com,Debt General,Student Debt,Student loan default,help for student loans in default,Unknown,0,0,2009-04,2009Q2,2009
10-06-2009,67AF1472-4586-46F1-A2F4-91CDC3100BFC,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,MI,20001-30000,Google,Unknown,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
15-05-2009,v29eX_QHpUSP-Wbie_TIBQ,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CO,30001-50000,Google,Unknown,DebtReductionInc,Lower Payments,Unknown,Unknown,Bad,0,0,2009-05,2009Q2,2009
06-06-2009,9216D634-EE22-4ACD-9392-05C600284D31,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,VA,30001-50000,Google,www.ehow.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
07-08-2009,bWlUzFxj70qk-HQQw8JRsA,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,FL,15001-20000,Google,Unknown,DebtReductionInc,Debt Payment,Unknown,Unknown,Closed,1,1,2009-08,2009Q3,2009
23-06-2009,Jrf7gfmPgEqyAlFkfFjp4g,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,CA,7500-10000,yahoo,search.yahoo.com,state - YSM Restructure (05/29/09),Debt Solution (LV),Unknown,"debt solutions, victorville, ca",Closed,1,1,2009-06,2009Q2,2009
04-06-2009,6F9A9EE3-518B-4FA1-9275-0E7DDC7DFEAA,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,7500-10000,AdKnowledge,www.bing.com,Financial Services,Consolidate,Unknown,peachtree debt,Unknown,0,0,2009-06,2009Q2,2009
27-07-2009,o5zNaZa3lEmdj-yjCGnu0g,EP Confirmed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,CA,30001-50000,yahoo,www.findstuff.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Good,1,0,2009-07,2009Q3,2009
12-08-2009,1379AAF3-3BA6-4163-BDF4-5DC22DDC034D,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,TX,10001-15000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
01-07-2009,CPYPeFgK9kq7gHnoZ4BCVA,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,3,Debt Settlement1 Master,OK,7500-10000,AdKnowledge,www.bing.com,Financial Services,Consolidate,Unknown,how to get debt paid,Bad,0,0,2009-07,2009Q3,2009
29-05-2009,20B835C2-617D-4183-A659-C77574D6615C,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NY,50001-70000,Google,www.soyouwanna.com,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
06-08-2009,HNpQzFKNi0OGC7sQoz0W_w,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,MO,15001-20000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Bad,0,0,2009-08,2009Q3,2009
07-04-2009,27551477-4750-46F9-98CC-3BBC66CCDFEC,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,7500-15000,yahoo,search.yahoo.com,DebtReductionInc,Debt Credit Services,Unknown,debt credit services,Unknown,0,0,2009-04,2009Q2,2009
26-08-2009,tnEu0EvAYUS0oZ7qkFyqXw,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,FL,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,Student Debt - high volume,Unknown,help with student loan debt,Bad,0,0,2009-08,2009Q3,2009
16-08-2009,135C7DD6-D0B8-4BCA-819D-186E9FFC723D,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,FL,15001-20000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
10-04-2009,22234717-95B9-4D47-B099-C5BAEF26AF95,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,50001-70000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,http://articles.everyquery.com,Unknown,0,0,2009-04,2009Q2,2009
01-09-2009,D527CC2D-161B-4D15-BED5-48779EF1956C,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,FL,10001-15000,google,googleads.g.doubleclick.net,Debt Consolidation,Debt Consolidation Loan,Debt consolidation loan rate,Unknown,Unknown,0,0,2009-09,2009Q3,2009
17-06-2009,4xOsRf-T202UmchmWolKrQ,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,Student Debt,Unknown,default private student loans,Bad,0,0,2009-06,2009Q2,2009
12-06-2009,0D8836C3-D4E1-46DA-B023-2BF3C3469310,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,50001-70000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Consumer debt advocate reviews,consumer debt advocate reviews,Unknown,0,0,2009-06,2009Q2,2009
07-09-2009,DzVskk0exUKxW4eDOQVFXQ,EP Confirmed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,1,5,creditsolutions-branded-shortform,FL,7500-10000,google,www.ndparking.com,Debt General,Lower Payments,Credit card payments,Unknown,Good,1,0,2009-09,2009Q3,2009
25-07-2009,ADcfG1RZ_0Sm88lErdL7ng,Closed,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,3,creditsolutions-branded-shortform,FL,10001-15000,google,search.rr.com,Debt General,Debt Services,Superior debt service,Unknown,Closed,1,1,2009-07,2009Q3,2009
18-06-2009,EC706C61-CC44-4A96-BC5D-F69F746AC27B,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,7500-10000,yahoo,search.yahoo.com,DebtReductionInc,Credit Card Debt,Unknown,getting rid of credit card debt,Unknown,0,0,2009-06,2009Q2,2009
12-05-2009,BDF876B5-FEFD-4875-8460-E0096429532F,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,AL,30001-50000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Safe harbor debt management,safe harbor debt management,Unknown,0,0,2009-05,2009Q2,2009
28-07-2009,0c5g_rGrV02kkXC6ODPr7w,Contacted - Invalid Profile,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,4,5,Debt Settlement1 Master,AL,7500-10000,yahoo,educationexcels.com,DebtReductionInc,Debt Reduction,Unknown,Unknown,Bad,0,0,2009-07,2009Q3,2009
27-04-2009,MmC1w4Iv_06aFUEZgbMVTQ,Unable to contact - Bad Contact Information,w-300250-DebtReduction1-2DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,30001-50000,google,www.google.com,Credit,Credit Card Reduction,Credit card interest reduction,credit card interest deductions,Bad,0,0,2009-04,2009Q2,2009
18-05-2009,0243B13F-F98A-49A2-8EA5-E3966307BDB0,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,50001-70000,AdKnowledge,webmail.aol.com,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
09-06-2009,sUlpU1SrpE_2t27e2csCOA,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IL,30001-50000,yahoo,Unknown,DebtReductionInc,Debt Reduction,Unknown,Unknown,Bad,0,0,2009-06,2009Q2,2009
30-06-2009,FE041984-2BDE-444B-8BA4-92880675D5CA,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,5,creditsolutions-branded-shortform,TX,20001-30000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-06,2009Q2,2009
15-09-2009,21483C20-37A1-43B1-8C56-91EB1241A719,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,TX,15001-20000,yahoo,search.yahoo.com,state,Unsecured Debt Consolidation Loan,Unknown,unsecured debt consolidation loans in texas,Unknown,0,0,2009-09,2009Q3,2009
11-08-2009,D525E70F-AE9E-4738-8405-7F08212DF976,Unknown,w-302252-DebtReduction1-1DC-yellowarrow-dark,TopLeft-302252,DebtReductionInc,3,3,Debt Settlement1 Master,TX,7500-10000,Google,wiki.answers.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-08,2009Q3,2009
29-04-2009,A0BCA9F1-1CEB-4647-A05A-6A7D936CEEC2,Unknown,w-300250-DebtReduction1-2DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,MO,7500-15000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
15-04-2009,35E8B8C6-264B-42B4-AD0E-C3221986539B,Unknown,w-300250-DebtReduction1-2DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,OK,7500-15000,google,cnn.search.aol.com,Debt Holding Tank,Holding Tank - Debt,Student loan debt,student loan debt,Unknown,0,0,2009-04,2009Q2,2009
06-06-2009,74B13CA0-730F-4BC9-A4EB-9E0790E04EB2,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,70001-90000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Credit counselor,"consumer credit counseling in fort worth, tx",Unknown,0,0,2009-06,2009Q2,2009
23-05-2009,D8A75F2B-782A-4508-9883-21C7CF419154,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,OK,50001-70000,yahoo,www.findstuff.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
11-08-2009,E9767865-47CA-4053-A014-30C1828FD432,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,1,5,creditsolutions-branded-shortform,OK,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,Debt Consolidation,Unknown,Government Bill consolidation,Unknown,0,0,2009-08,2009Q3,2009
18-05-2009,F09B3E0A-19E3-434F-AFD4-73221677886D,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,FL,50001-70000,google,www.google.com,Debt General,Get Out Of Debt,Get out of debt,is bankruptcy a better way to get out of debt,Unknown,0,0,2009-05,2009Q2,2009
02-06-2009,DCF4D947-7E30-4C78-9842-4E5B9BE204D2,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,30001-50000,google,www.webcrawler.com,Debt General,Lower Payments,Credit card payments,Unknown,Unknown,0,0,2009-06,2009Q2,2009
04-04-2009,Hk6R2X_K1UauG0I4Xi45Yw,EP Confirmed,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,FL,15001-20000,yahoo,www.att.net,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Good,1,0,2009-04,2009Q2,2009
